iter	Passed	Remaining
0	0	915
1	1	816
2	2	784
3	3	771
4	3	751
5	4	753
6	5	748
7	6	750
8	6	743
9	7	759
10	8	796
11	9	791
12	10	790
13	11	793
14	12	790
15	12	785
16	13	775
17	14	766
18	14	760
19	15	751
20	16	748
21	16	749
22	17	746
23	18	742
24	18	736
25	19	734
26	20	732
27	21	729
28	21	728
29	22	732
30	23	749
31	24	750
32	25	753
33	26	753
34	27	751
35	27	748
36	28	745
37	29	744
38	30	741
39	30	739
40	31	738
41	32	735
42	32	732
43	33	729
44	34	728
45	35	727
46	35	725
47	36	723
48	37	721
49	38	731
50	39	732
51	40	730
52	40	727
53	41	727
54	42	724
55	42	721
56	43	719
57	44	717
58	44	715
59	45	713
60	46	713
61	46	710
62	47	708
63	48	707
64	49	706
65	49	704
66	50	703
67	51	700
68	51	698
69	52	699
70	54	707
71	54	706
72	55	705
73	56	704
74	56	702
75	57	700
76	58	698
77	58	696
78	59	695
79	60	694
80	61	693
81	61	691
82	62	686
83	62	686
84	63	685
85	64	684
86	65	683
87	65	681
88	66	681
89	67	679
90	68	681
91	69	687
92	70	688
93	71	689
94	72	688
95	73	687
96	73	686
97	74	684
98	75	682
99	75	683
100	76	683
101	77	684
102	78	684
103	79	683
104	80	682
105	80	681
106	81	681
107	82	682
108	83	684
109	84	685
110	85	684
111	86	685
112	87	684
113	87	683
114	88	683
115	89	684
116	90	682
117	91	681
118	91	680
119	92	679
120	93	678
121	94	676
122	94	675
123	95	674
124	96	673
125	96	671
126	97	671
127	98	672
128	99	671
129	100	670
130	101	670
131	101	669
132	102	667
133	103	666
134	103	665
135	104	664
136	105	663
137	106	662
138	106	661
139	107	659
140	108	659
141	108	656
142	109	655
143	110	654
144	110	653
145	111	652
146	112	653
147	113	655
148	114	654
149	115	653
150	116	652
151	116	651
152	117	650
153	118	649
154	119	649
155	119	648
156	120	647
157	121	646
158	122	645
159	122	644
160	123	642
161	123	641
162	124	639
163	125	638
164	125	637
165	126	636
166	127	635
167	128	636
168	129	636
169	130	635
170	130	634
171	131	634
172	132	633
173	133	632
174	133	630
175	134	629
176	135	628
177	135	627
178	136	626
179	137	625
180	138	624
181	138	623
182	139	622
183	140	621
184	140	620
185	141	618
186	142	619
187	143	620
188	144	619
189	145	619
190	145	618
191	146	617
192	147	616
193	148	615
194	148	614
195	149	613
196	150	612
197	151	611
198	151	611
199	152	610
200	153	609
201	153	608
202	154	607
203	155	606
204	156	605
205	156	604
206	157	604
207	158	605
208	159	605
209	160	604
210	161	603
211	162	604
212	163	603
213	164	603
214	164	602
215	165	601
216	166	600
217	167	599
218	168	600
219	169	600
220	170	600
221	171	599
222	171	599
223	173	599
224	174	599
225	174	598
226	175	597
227	176	596
228	177	596
229	177	595
230	178	594
231	179	594
232	180	593
233	181	592
234	181	591
235	182	591
236	183	590
237	184	589
238	185	589
239	186	589
240	187	589
241	188	590
242	189	590
243	190	589
244	191	589
245	192	588
246	192	588
247	193	586
248	194	585
249	194	584
250	195	583
251	196	582
252	197	581
253	197	581
254	198	580
255	199	579
256	200	579
257	201	578
258	202	579
259	203	579
260	204	579
261	205	578
262	206	577
263	206	577
264	207	576
265	208	575
266	209	574
267	210	573
268	210	572
269	211	572
270	212	571
271	213	570
272	213	568
273	214	568
274	215	567
275	216	566
276	217	566
277	218	566
278	219	566
279	219	565
280	220	564
281	221	563
282	222	562
283	222	561
284	223	560
285	224	559
286	224	558
287	225	557
288	226	556
289	226	555
290	227	554
291	228	553
292	229	553
293	230	552
294	230	551
295	231	551
296	232	551
297	233	550
298	234	549
299	235	548
300	235	548
301	236	547
302	237	546
303	238	545
304	239	545
305	240	544
306	240	543
307	241	542
308	242	541
309	242	540
310	243	539
311	244	538
312	244	537
313	245	536
314	246	535
315	247	534
316	248	535
317	249	534
318	249	533
319	250	533
320	251	532
321	252	531
322	253	530
323	253	529
324	254	528
325	255	527
326	256	527
327	256	526
328	257	525
329	258	524
330	258	523
331	259	522
332	260	521
333	261	520
334	262	520
335	263	520
336	264	519
337	264	518
338	265	518
339	266	517
340	267	516
341	268	515
342	268	514
343	269	513
344	270	513
345	270	512
346	271	511
347	272	510
348	273	509
349	274	509
350	274	508
351	275	506
352	276	506
353	276	505
354	278	505
355	279	504
356	280	504
357	280	503
358	281	503
359	282	502
360	283	501
361	284	500
362	284	500
363	285	499
364	286	498
365	287	497
366	288	496
367	288	496
368	289	495
369	290	494
370	290	493
371	291	492
372	292	492
373	294	492
374	294	491
375	295	490
376	296	489
377	297	488
378	297	488
379	298	487
380	299	486
381	300	485
382	300	484
383	301	484
384	302	483
385	303	482
386	304	481
387	304	480
388	305	479
389	306	478
390	306	478
391	308	477
392	309	477
393	309	476
394	310	475
395	311	474
396	311	473
397	312	473
398	313	472
399	314	471
400	315	470
401	315	469
402	316	469
403	317	468
404	318	467
405	318	466
406	319	465
407	320	464
408	320	463
409	321	462
410	322	462
411	323	462
412	324	461
413	325	460
414	326	459
415	326	458
416	327	458
417	328	457
418	329	456
419	330	455
420	330	454
421	331	454
422	332	453
423	332	452
424	333	451
425	334	450
426	335	449
427	335	448
428	336	448
429	337	447
430	338	447
431	339	446
432	340	445
433	341	445
434	341	444
435	342	443
436	343	442
437	344	441
438	344	440
439	345	440
440	346	439
441	347	438
442	347	437
443	348	436
444	349	435
445	350	434
446	350	434
447	351	433
448	352	433
449	354	432
450	355	432
451	355	431
452	356	430
453	357	429
454	358	428
455	358	427
456	359	427
457	360	426
458	361	425
459	361	424
460	362	423
461	363	423
462	363	422
463	364	421
464	365	420
465	366	419
466	366	418
467	368	418
468	369	418
469	370	417
470	370	416
471	371	415
472	372	415
473	373	414
474	374	413
475	374	412
476	375	411
477	376	411
478	377	410
479	377	409
480	378	408
481	379	407
482	380	407
483	380	406
484	381	405
485	382	404
486	384	404
487	385	404
488	385	403
489	386	402
490	387	401
491	388	400
492	389	400
493	389	399
494	390	398
495	391	397
496	392	396
497	392	396
498	393	395
499	394	394
500	395	393
501	395	392
502	396	391
503	397	390
504	398	390
505	399	389
506	400	389
507	400	388
508	401	387
509	402	386
510	403	385
511	403	384
512	404	383
513	405	383
514	405	382
515	406	381
516	407	380
517	407	379
518	408	378
519	409	377
520	410	377
521	410	376
522	411	375
523	412	374
524	414	374
525	414	373
526	415	373
527	416	372
528	417	371
529	417	370
530	418	369
531	419	369
532	420	368
533	420	367
534	421	366
535	422	365
536	423	364
537	423	363
538	424	363
539	425	362
540	425	361
541	426	360
542	427	359
543	428	359
544	429	358
545	430	357
546	431	357
547	432	356
548	432	355
549	433	354
550	434	353
551	434	353
552	435	352
553	436	351
554	437	350
555	438	349
556	438	349
557	439	348
558	440	347
559	440	346
560	441	345
561	442	344
562	443	344
563	444	343
564	445	342
565	446	342
566	446	341
567	447	340
568	448	339
569	448	338
570	449	337
571	450	337
572	451	336
573	451	335
574	452	334
575	453	333
576	454	332
577	454	332
578	455	331
579	456	330
580	456	329
581	458	328
582	459	328
583	460	327
584	460	326
585	461	326
586	462	325
587	462	324
588	463	323
589	464	322
590	464	321
591	465	320
592	466	320
593	467	319
594	467	318
595	468	317
596	469	316
597	469	315
598	470	315
599	471	314
600	471	313
601	473	312
602	474	312
603	475	311
604	475	310
605	476	309
606	477	309
607	478	308
608	478	307
609	479	306
610	480	305
611	481	305
612	481	304
613	482	303
614	483	302
615	484	301
616	484	300
617	485	300
618	486	299
619	486	298
620	487	297
621	489	297
622	489	296
623	490	295
624	491	294
625	492	293
626	492	293
627	493	292
628	494	291
629	494	290
630	495	289
631	496	289
632	497	288
633	497	287
634	498	286
635	499	285
636	500	284
637	500	284
638	501	283
639	502	282
640	503	281
641	504	281
642	505	280
643	505	279
644	506	278
645	507	277
646	507	277
647	508	276
648	509	275
649	509	274
650	510	273
651	511	272
652	511	272
653	512	271
654	513	270
655	514	269
656	514	268
657	515	267
658	516	267
659	516	266
660	518	265
661	519	265
662	520	264
663	521	263
664	521	262
665	522	262
666	523	261
667	524	260
668	524	259
669	525	258
670	526	258
671	527	257
672	528	256
673	528	255
674	529	254
675	530	254
676	530	253
677	531	252
678	532	251
679	533	251
680	534	250
681	535	249
682	535	248
683	536	247
684	537	247
685	537	246
686	538	245
687	539	244
688	540	243
689	540	243
690	541	242
691	542	241
692	543	240
693	543	239
694	544	238
695	545	238
696	545	237
697	546	236
698	547	235
699	548	235
700	549	234
701	550	233
702	551	232
703	551	232
704	552	231
705	553	230
706	554	229
707	554	228
708	555	228
709	556	227
710	557	226
711	557	225
712	558	224
713	559	224
714	560	223
715	560	222
716	561	221
717	562	221
718	563	220
719	564	219
720	565	218
721	566	218
722	567	217
723	567	216
724	568	215
725	569	214
726	570	214
727	570	213
728	571	212
729	572	211
730	573	210
731	573	210
732	574	209
733	575	208
734	576	207
735	577	207
736	578	206
737	578	205
738	580	204
739	580	204
740	581	203
741	582	202
742	583	201
743	583	200
744	584	200
745	585	199
746	586	198
747	587	197
748	587	196
749	588	196
750	589	195
751	590	194
752	590	193
753	591	192
754	592	192
755	593	191
756	594	190
757	595	189
758	595	189
759	596	188
760	596	187
761	597	186
762	598	185
763	599	185
764	599	184
765	600	183
766	601	182
767	602	181
768	603	181
769	603	180
770	604	179
771	605	178
772	606	177
773	607	177
774	608	176
775	609	175
776	609	175
777	610	174
